Season,LFC_RedCardVenue,LiverpoolResult
2000/01,Away,Loss
2000/01,Home,Win
2000/01,Home,Loss
2001/02,Home,Loss
2001/02,Away,Win
2001/02,Home,Win
2002/03,Away,Loss
2002/03,Away,Loss
2002/03,Away,Loss
2003/04,Away,Win
2004/05,Away,Win
2004/05,Home,Win
2005/06,Away,Win
2005/06,Away,Loss
2005/06,Away,Loss
2005/06,Home,Win
2005/06,Away,Win
2007/08,Away,Loss
2009/10,Home,Win
2009/10,Away,Loss
2009/10,Away,Loss
2009/10,Home,Win
2010/11,Home,Draw
2010/11,Away,Loss
2011/12,Away,Loss
2011/12,Away,Loss
2011/12,Away,Loss
2011/12,Away,Win
2012/13,Away,Loss
2012/13,Home,Loss
2013/14,Home,Win
2014/15,Home,Draw
2014/15,Home,Loss
2014/15,Away,Loss
2015/16,Home,Loss
2015/16,Away,Win
2015/16,Away,Loss
2017/18,Away,Loss
2018/19,Away,Win
2018/19,Home,Win
2019/20,Home,Win
2021/22,Away,Draw
2022/23,Home,Draw
2023/24,Home,Win
2023/24,Away,Win
2023/24,Away,Loss
2023/24,Away,Loss
2024/25,Home,Draw
2024/25,Away,Draw
