Season,sum,count,ConversionRate
2000/01,11,15,73.33333333333333
2001/02,17,19,89.47368421052632
2002/03,11,14,78.57142857142857
2003/04,8,10,80.0
2004/05,9,10,90.0
2005/06,17,17,100.0
2006/07,13,13,100.0
2007/08,13,17,76.47058823529412
2008/09,13,15,86.66666666666667
2009/10,11,12,91.66666666666666
2010/11,10,14,71.42857142857143
2011/12,9,11,81.81818181818183
2012/13,11,13,84.61538461538461
2013/14,21,25,84.0
2014/15,10,11,90.9090909090909
2015/16,9,11,81.81818181818183
2016/17,16,19,84.21052631578947
2017/18,15,19,78.94736842105263
2018/19,21,21,100.0
2019/20,23,24,95.83333333333334
2020/21,11,14,78.57142857142857
2021/22,20,21,95.23809523809523
2022/23,14,14,100.0
2023/24,11,14,78.57142857142857
2024/25,17,17,100.0
